Name,Position,Standard Name,conc,position,player_id,exists in player master,exists in player_dict
A.J. Brown,WR,A.J. Brown,A.J. BrownWR,WR,31883,A.J. BrownWR,31883
AJ Brown,WR,A.J. Brown,A.J. BrownWR,WR,31883,A.J. BrownWR,31883
A.J. Green,WR,A.J. Green,A.J. GreenWR,WR,24791,A.J. GreenWR,24791
AJ Green,WR,A.J. Green,A.J. GreenWR,WR,24791,A.J. GreenWR,24791
Aaron Hernandez,TE,Aaron Hernandez,Aaron HernandezTE,TE,24088,Aaron HernandezTE,24088
Aaron Jones,RB,Aaron Jones,Aaron JonesRB,RB,30295,Aaron JonesRB,30295
Aaron Rodgers,QB,Aaron Rodgers,Aaron RodgersQB,QB,7200,Aaron RodgersQB,7200
Aaron Rogers,QB,Aaron Rodgers,Aaron RodgersQB,QB,7200,Aaron RodgersQB,7200
Adam Humphries,WR,Adam Humphries,Adam HumphriesWR,WR,29070,Adam HumphriesWR,29070
Adam Thielen,WR,Adam Thielen,Adam ThielenWR,WR,27277,Adam ThielenWR,27277
Adam Vinatieri,K,Adam Vinatieri,Adam VinatieriK,K,3727,Adam VinatieriK,3727
Adrian Peterson,RB,Adrian Peterson,Adrian PetersonRB,RB,8261,Adrian PetersonRB,8261
Amahd Bradshaw,RB,Ahmad Bradshaw,Ahmad BradshawRB,RB,8504,Ahmad BradshawRB,8504
AJ Dillon,RB,AJ Dillon,AJ DillonRB,RB,32732,AJ DillonRB,32732
Alex Collins,RB,Alex Collins,Alex CollinsRB,RB,29405,Alex CollinsRB,29405
Alex Henry ,K,Alex Henery,Alex HeneryK,K,#N/A,#N/A,#N/A
Alex Smith,QB,Alex Smith,Alex SmithQB,QB,7177,Alex SmithQB,7177
Alexander Mattison,RB,Alexander Mattison,Alexander MattisonRB,RB,31934,Alexander MattisonRB,31934
Alfred Blue,RB,Alfred Blue,Alfred BlueRB,RB,27709,Alfred BlueRB,27709
Alfred Morris,RB,Alfred Morris,Alfred MorrisRB,RB,25883,Alfred MorrisRB,25883
Allen Hurns,WR,Allen Hurns,Allen HurnsWR,WR,27874,Allen HurnsWR,27874
Allen Robinson,WR,Allen Robinson II,Allen Robinson IIWR,WR,27589,Allen Robinson IIWR,27589
Allen Robinson II,WR,Allen Robinson II,Allen Robinson IIWR,WR,27589,Allen Robinson IIWR,27589
Alshon Jeffery,WR,Alshon Jeffery,Alshon JefferyWR,WR,25755,Alshon JefferyWR,25755
Alshon Jeffrey,WR,Alshon Jeffery,Alshon JefferyWR,WR,25755,Alshon JefferyWR,25755
Alshon Jeffrey*,WR,Alshon Jeffery,Alshon JefferyWR,WR,25755,Alshon JefferyWR,25755
Alvin Kamara,RB,Alvin Kamara,Alvin KamaraRB,RB,30180,Alvin KamaraRB,30180
Amari Cooper,WR,Amari Cooper,Amari CooperWR,WR,28392,Amari CooperWR,28392
Ameer Abdullah,RB,Ameer Abdullah,Ameer AbdullahRB,RB,28442,Ameer AbdullahRB,28442
Andre Brown,RB,Andre Brown,Andre BrownRB,RB,9393,Andre BrownRB,9393
Andre Ellington,RB,Andre Ellington,Andre EllingtonRB,RB,26810,Andre EllingtonRB,26810
Andre Johnson,WR,Andre Johnson,Andre JohnsonWR,WR,6339,Andre JohnsonWR,6339
Andre Williams,RB,Andre Williams,Andre WilliamsRB,RB,27641,Andre WilliamsRB,27641
Andrew Luck,QB,Andrew Luck,Andrew LuckQB,QB,25711,Andrew LuckQB,25711
Andy Dalton,QB,Andy Dalton,Andy DaltonQB,QB,24822,Andy DaltonQB,24822
Anquan Boldin,WR,Anquan Boldin,Anquan BoldinWR,WR,6390,Anquan BoldinWR,6390
Anthony Miller,WR,Anthony Miller,Anthony MillerWR,WR,31021,Anthony MillerWR,31021
Antonio Brown,WR,Antonio Brown,Antonio BrownWR,WR,24171,Antonio BrownWR,24171
Antonio Callaway,WR,Antonio Callaway,Antonio CallawayWR,WR,31075,Antonio CallawayWR,31075
Antonio Gates,TE,Antonio Gates,Antonio GatesTE,TE,6663,Antonio GatesTE,6663
Antonio Gibson,RB,Antonio Gibson,Antonio GibsonRB,RB,32736,Antonio GibsonRB,32736
Arian Foster,RB,Arian Foster,Arian FosterRB,RB,9527,Arian FosterRB,9527
Arizona Cardinals,DEF,Arizona,ArizonaDEF,DEF,100022,#N/A,100022
